Name,Cluster,Current_Score,Current_Rank,Weak_Feature_1,Weak_Feature_2,Rec_Message,Est_Score_Gain,Est_Rank_Improvement
Indian Institute of Technology Madras,0,88.04088047806049,1.2314183392519782,OI (100),GO (100),"To improve your NIRF rank, focus on: OI (100), GO (100). Estimated score gain: 8.34, rank improvement: 2.1 places.",8.335933013833255,2.0906247089482837
Indian Institute of Science,0,83.13411544019654,2.61712596104147,OI (100),GO (100),"To improve your NIRF rank, focus on: OI (100), GO (100). Estimated score gain: 4.59, rank improvement: 1.7 places.",4.5871941717544615,1.7234794102808548
Indian Institute of Technology Delhi,0,81.97831276258107,2.769320446427265,GO (100),OI (100),"To improve your NIRF rank, focus on: GO (100), OI (100). Estimated score gain: 9.70, rank improvement: 4.2 places.",9.702850853518811,4.194517293273022
Indian Institute of Technology Bombay,0,81.78403879181529,3.364626902997069,OI (100),GO (100),"To improve your NIRF rank, focus on: OI (100), GO (100). Estimated score gain: 4.39, rank improvement: 2.0 places.",4.385001054676849,2.038533129146114
Indian Institute of Technology Kanpur,0,78.89615318324535,7.365019309488265,OI (100),GO (100),"To improve your NIRF rank, focus on: OI (100), GO (100). Estimated score gain: 5.21, rank improvement: 4.1 places.",5.208985402608548,4.119589859968837
"All India Institute of Medical Sciences, Delhi",0,72.3309423677712,6.070339623442631,GO (100),TLR (100),"To improve your NIRF rank, focus on: GO (100), TLR (100). Estimated score gain: 8.84, rank improvement: 2.9 places.",8.835583898224783,2.9037513830598516
Indian Institute of Technology Kharagpur,0,71.58431114644053,7.177028781332382,GO (100),OI (100),"To improve your NIRF rank, focus on: GO (100), OI (100). Estimated score gain: 0.29, rank improvement: 3.5 places.",0.2864427044194571,3.4684092138766847
Indian Institute of Technology Roorkee,0,71.61832236300876,7.825070666596232,PERCEPTION (100),GO (100),"To improve your NIRF rank, focus on: PERCEPTION (100), GO (100). Estimated score gain: 3.81, rank improvement: 1.9 places.",3.8072712620611497,1.8510089601818471
Indian Institute of Technology Guwahati,0,68.75922886642103,9.344846862013341,PERCEPTION (100),OI (100),"To improve your NIRF rank, focus on: PERCEPTION (100), OI (100). Estimated score gain: 0.08, rank improvement: 3.9 places.",0.08102628073226015,3.912287203333416
Jawaharlal Nehru University,0,67.59466849877226,10.054878309164879,RPC (100),PERCEPTION (100),"To improve your NIRF rank, focus on: RPC (100), PERCEPTION (100). Estimated score gain: 4.12, rank improvement: 5.1 places.",4.116366054056343,5.091131136387321
Banaras Hindu University,0,69.48423453389658,12.976583031180349,RPC (100),PERCEPTION (100),"To improve your NIRF rank, focus on: RPC (100), PERCEPTION (100). Estimated score gain: 2.88, rank improvement: 5.0 places.",2.883435805341179,5.034336892371454
"Jamia Millia Islamia,New Delhi",0,65.24341164639546,11.89992070422669,PERCEPTION (100),RPC (100),"To improve your NIRF rank, focus on: PERCEPTION (100), RPC (100). Estimated score gain: 4.62, rank improvement: 7.2 places.",4.6170940706603005,7.2275447804645285
Jadavpur University,0,64.78224831311896,12.421505501626172,PERCEPTION (100),RPC (100),"To improve your NIRF rank, focus on: PERCEPTION (100), RPC (100). Estimated score gain: 3.96, rank improvement: 4.4 places.",3.964804350575463,4.400940923218638
Indian Institute of Technology Hyderabad,0,63.62290587673115,13.493135043658782,GO (100),RPC (100),"To improve your NIRF rank, focus on: GO (100), RPC (100). Estimated score gain: 5.90, rank improvement: 4.3 places.",5.902312378460081,4.341432701812872
Amrita Vishwa Vidyapeetham,0,63.125621480128174,15.031059057056401,PERCEPTION (100),RPC (100),"To improve your NIRF rank, focus on: PERCEPTION (100), RPC (100). Estimated score gain: 3.49, rank improvement: 7.0 places.",3.4933679902309365,7.024857967058402
Manipal Academy of Higher Education-Manipal,0,62.347126457458714,16.048716320957993,PERCEPTION (100),RPC (100),"To improve your NIRF rank, focus on: PERCEPTION (100), RPC (100). Estimated score gain: 3.68, rank improvement: 6.0 places.",3.6798304499969277,6.0477424494592285
Vellore Institute of Technology,0,62.63737212582353,17.003340751434603,TLR (100),PERCEPTION (100),"To improve your NIRF rank, focus on: TLR (100), PERCEPTION (100). Estimated score gain: 1.64, rank improvement: 9.4 places.",1.6403340574360925,9.37787144107363
Anna University,0,62.64319218016091,18.08754448148098,TLR (100),OI (100),"To improve your NIRF rank, focus on: TLR (100), OI (100). Estimated score gain: 2.42, rank improvement: 10.1 places.",2.4228581832375227,10.12850785626036
Aligarh Muslim University,0,63.00056408591639,16.98680279104601,PERCEPTION (100),RPC (100),"To improve your NIRF rank, focus on: PERCEPTION (100), RPC (100). Estimated score gain: 3.68, rank improvement: 5.5 places.",3.680502729829307,5.4681093961992175
University of Hyderabad,0,60.57952783207995,20.150026394141538,PERCEPTION (100),RPC (100),"To improve your NIRF rank, focus on: PERCEPTION (100), RPC (100). Estimated score gain: 2.40, rank improvement: 8.1 places.",2.3985783752245027,8.05367062184102
