Institute ID,Name,TLR (100),RPC (100),GO (100),OI (100),PERCEPTION (100),City,State,Score,Rank,Cluster
IR-O-U-0456,Indian Institute of Technology Madras,86.45,89.88,87.22,63.59,100.0,Chennai,Tamil Nadu,86.69,1,0
IR-O-U-0220,Indian Institute of Science,82.43,88.45,80.57,59.23,97.94,Bengaluru,Karnataka,83.09,2,0
IR-O-I-1074,Indian Institute of Technology Delhi,82.06,85.23,79.21,70.32,90.98,New Delhi,Delhi,82.16,3,0
IR-O-U-0306,Indian Institute of Technology Bombay,80.71,86.14,84.26,58.76,84.98,Mumbai,Maharashtra,81.28,4,0
IR-O-I-1075,Indian Institute of Technology Kanpur,85.45,72.94,83.62,60.24,69.84,Kanpur,Uttar Pradesh,77.23,5,0
IR-O-N-15,"All India Institute of Medical Sciences, Delhi",76.47,67.75,70.46,72.72,75.23,New Delhi,Delhi,72.14,6,0
IR-O-U-0573,Indian Institute of Technology Kharagpur,73.29,72.25,76.75,57.44,70.68,Kharagpur,West Bengal,71.82,7,0
IR-O-U-0560,Indian Institute of Technology Roorkee,77.69,68.0,83.15,62.8,50.36,Roorkee,Uttarakhand,71.66,8,0
IR-O-U-0053,Indian Institute of Technology Guwahati,73.43,66.98,82.95,58.3,42.44,Guwahati,Assam,68.78,9,0
IR-O-U-0109,Jawaharlal Nehru University,73.55,46.56,94.89,73.64,50.73,New Delhi,Delhi,67.44,10,0
IR-O-U-0500,Banaras Hindu University,72.77,49.18,99.64,61.5,45.43,Varanasi,Uttar Pradesh,67.21,11,0
IR-O-U-0108,"Jamia Millia Islamia,New Delhi",69.38,49.83,93.85,83.41,26.4,New Delhi,Delhi,65.52,12,0
IR-O-U-0575,Jadavpur University,67.63,53.66,90.61,56.79,41.08,Kolkata,West Bengal,64.3,13,0
IR-O-U-0013,Indian Institute of Technology Hyderabad,74.38,55.13,73.26,59.03,48.36,Hyderabad,Telangana,64.24,14,0
IR-O-U-0436,Amrita Vishwa Vidyapeetham,73.39,50.35,73.93,72.47,35.71,Coimbatore,Tamil Nadu,62.74,15,0
IR-O-U-0234,Manipal Academy of Higher Education-Manipal,72.87,54.02,77.97,66.1,24.39,Manipal,Karnataka,62.71,16,0
IR-O-U-0490,Vellore Institute of Technology,55.66,63.59,80.43,62.55,45.71,Vellore,Tamil Nadu,62.7,17,0
IR-O-U-0439,Anna University,56.24,64.24,74.58,50.29,62.67,Chennai,Tamil Nadu,62.36,18,0
IR-O-U-0496,Aligarh Muslim University,68.87,46.88,94.55,60.04,26.4,Aligarh,Uttar Pradesh,62.27,19,0
IR-O-U-0042,University of Hyderabad,70.46,44.54,83.27,66.58,26.83,Hyderabad,Telangana,60.49,20,0
IR-O-U-0467,National Institute of Technology Tiruchirappalli,59.68,48.55,76.18,68.33,58.95,Tiruchirappalli,Tamil Nadu,60.43,21,0
IR-O-U-0120,University of Delhi,46.65,54.3,97.84,63.98,39.84,Delhi,Delhi,60.24,22,0
IR-O-U-0570,Calcutta University,66.11,42.3,97.37,53.01,29.33,Kolkata,West Bengal,60.22,23,0
IR-O-U-0139,Indian Institute of Technology Gandhinagar,74.59,43.13,69.53,69.14,27.47,Gandhinagar,Gujarat,58.89,24,1
IR-O-U-0391,Birla Institute of Technology  & Science -Pilani,61.65,56.26,74.65,59.16,25.3,Pilani,Rajasthan,58.76,25,1
IR-O-U-0363,Siksha `O` Anusandhan,69.78,40.1,73.26,73.35,34.11,Bhubaneswar,Odisha,58.35,26,1
IR-O-I-1441,Saveetha Institute of Medical and Technical Sciences,69.83,52.18,71.3,67.38,5.37,Chennai,Tamil Nadu,58.14,27,1
IR-O-U-0273,Indian Institute of Technology Indore,66.36,52.71,72.96,60.81,16.1,Indore,Madhya Pradesh,58.0,28,1
IR-O-U-0356,Kalinga Institute of Industrial Technology,69.63,38.02,78.87,80.13,14.39,Bhubaneswar,Odisha,57.52,29,1
IR-O-U-0304,Homi Bhabha National Institute,73.14,49.45,71.36,54.35,6.08,Mumbai,Maharashtra,57.09,30,1
IR-O-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,54.83,53.2,75.62,57.38,38.07,Varanasi,Uttar Pradesh,57.08,31,1
IR-O-U-0473,S.R.M. Institute of Science and Technology,61.62,47.02,74.95,64.61,23.94,Chennai,Tamil Nadu,56.44,32,1
IR-O-U-0378,Indian Institute of Technology Ropar,73.68,38.46,66.67,66.44,25.52,Rupnagar,Punjab,56.16,33,1
IR-O-U-0305,Indian Institute of Science Education & Research Pune,72.45,43.72,63.27,63.57,21.81,Pune,Maharashtra,56.05,34,1
IR-O-U-0323,Savitribai Phule Pune University,60.99,39.3,94.63,51.78,15.82,Pune,Maharashtra,55.78,35,1
IR-O-U-0447,Bharathiar University,63.1,43.77,78.87,51.98,25.52,Coimbatore,Tamil Nadu,55.58,36,1
IR-O-U-0357,National Institute of Technology Rourkela,59.99,51.67,72.69,60.11,14.68,Rourkela,Odisha,55.52,37,1
IR-O-U-0237,"National Institute of Technology Karnataka, Surathkal",58.46,45.25,75.59,59.23,33.2,Surathkal,Karnataka,55.47,38,1
