Name,GO (100),Score,Rank,New_GO (100),Pred_Score,Pred_New_Score,Pred_Rank,Pred_New_Rank
Indian Institute of Technology Madras,87.22,86.69,1,97.22,88.04088047806049,93.43284263675095,1.2314183392519773,0.5942295335968586
Indian Institute of Science,80.57,83.09,2,90.57,83.13411544019654,86.56489170565388,2.6171259610414705,1.7843188704976165
Indian Institute of Technology Delhi,79.21,82.16,3,89.21,81.97831276258107,85.22293447029038,2.769320446427265,1.5786420874154037
Indian Institute of Technology Bombay,84.26,81.28,4,94.26,81.78403879181529,85.80834631463543,3.3646269029970695,2.058893423314829
Indian Institute of Technology Kanpur,83.62,77.23,5,93.62,78.89615318324536,82.02430529678585,7.365019309488264,5.921457848727505
"All India Institute of Medical Sciences, Delhi",70.46,72.14,6,80.46,72.3309423677712,73.45409555858582,6.070339623442631,3.8815688219870146
Indian Institute of Technology Kharagpur,76.75,71.82,7,86.75,71.58431114644053,72.86454622107406,7.177028781332382,5.878080780945572
Indian Institute of Technology Roorkee,83.15,71.66,8,93.15,71.61832236300874,74.49979068015962,7.825070666596232,6.807292200327777
Indian Institute of Technology Guwahati,82.95,68.78,9,92.95,68.75922886642103,71.43413922002796,9.344846862013343,8.661900415271838
Jawaharlal Nehru University,94.89,67.44,10,100.0,67.59466849877226,69.38239801351648,10.05487830916488,11.264259493321449
Banaras Hindu University,99.64,67.21,11,100.0,69.48423453389657,69.60083469148161,12.976583031180349,12.937604698375079
"Jamia Millia Islamia,New Delhi",93.85,65.52,12,100.0,65.24341164639546,66.78115355124234,11.89992070422669,11.310850758452013
Jadavpur University,90.61,64.3,13,100.0,64.78224831311896,68.33362951415162,12.421505501626172,10.851322389752086
Indian Institute of Technology Hyderabad,73.26,64.24,14,83.26,63.62290587673115,65.37840564352473,13.493135043658782,12.159877383094887
Amrita Vishwa Vidyapeetham,73.93,62.74,15,83.93,63.125621480128174,65.85762060736347,15.031059057056403,11.082207376560316
Manipal Academy of Higher Education-Manipal,77.97,62.71,16,87.97,62.347126457458714,65.34617813250388,16.048716320957997,15.496714594115929
Vellore Institute of Technology,80.43,62.7,17,90.43,62.63737212582353,66.01604491911259,17.003340751434607,13.12877771006563
Anna University,74.58,62.36,18,84.58,62.64319218016091,66.04869049064746,18.087544481480982,12.72259724264556
Aligarh Muslim University,94.55,62.27,19,100.0,63.00056408591639,64.7865366596471,16.986802791046014,16.068941318264724
University of Hyderabad,83.27,60.49,20,93.27,60.57952783207995,63.34129465557275,20.150026394141534,19.462986730450343
