Name,TLR (100),Score,Rank,New_TLR (100),Pred_Score,Pred_New_Score,Pred_Rank,Pred_New_Rank
Indian Institute of Technology Madras,86.45,86.69,1,96.45,88.04088047806049,95.35567477031303,1.2314183392519773,2.8285555217479104
Indian Institute of Science,82.43,83.09,2,92.43,83.13411544019654,89.5097308507802,2.6171259610414705,4.4655467993039215
Indian Institute of Technology Delhi,82.06,82.16,3,92.06,81.97831276258107,88.57180884171372,2.769320446427265,2.9889336646157187
Indian Institute of Technology Bombay,80.71,81.28,4,90.71,81.78403879181529,87.29086902945312,3.3646269029970695,5.043999317666577
Indian Institute of Technology Kanpur,85.45,77.23,5,95.45,78.89615318324536,86.29629843701964,7.365019309488264,9.502509337548979
"All India Institute of Medical Sciences, Delhi",76.47,72.14,6,86.47,72.3309423677712,78.62454462838566,6.070339623442631,7.077625162032017
Indian Institute of Technology Kharagpur,73.29,71.82,7,83.29,71.58431114644053,76.05822041285185,7.177028781332382,9.317456198032117
Indian Institute of Technology Roorkee,77.69,71.66,8,87.69,71.61832236300874,77.14989249550463,7.825070666596232,9.27761040151414
Indian Institute of Technology Guwahati,73.43,68.78,9,83.43,68.75922886642103,72.91107902762579,9.344846862013343,11.022357601617768
Jawaharlal Nehru University,73.55,67.44,10,83.55,67.59466849877226,76.75626870856007,10.05487830916488,9.005968207571673
Banaras Hindu University,72.77,67.21,11,82.77,69.48423453389657,74.59713553045763,12.976583031180349,14.373906826416771
"Jamia Millia Islamia,New Delhi",69.38,65.52,12,79.38,65.24341164639546,72.4053518040921,11.89992070422669,9.914277527713969
Jadavpur University,67.63,64.3,13,77.63,64.78224831311896,68.77460856417646,12.421505501626172,13.483430341829221
Indian Institute of Technology Hyderabad,74.38,64.24,14,84.38,63.62290587673115,68.62408052935399,13.493135043658782,16.1115419126387
Amrita Vishwa Vidyapeetham,73.39,62.74,15,83.39,63.125621480128174,68.86824076221815,15.031059057056403,16.13606588371885
Manipal Academy of Higher Education-Manipal,72.87,62.71,16,82.87,62.347126457458714,67.74825617061201,16.048716320957997,16.884434507010134
Vellore Institute of Technology,55.66,62.7,17,65.66,62.63737212582353,63.759172034869536,17.003340751434607,9.949037259384319
Anna University,56.24,62.36,18,66.24000000000001,62.64319218016091,65.82413560384967,18.087544481480982,14.198840446543173
Aligarh Muslim University,68.87,62.27,19,78.87,63.00056408591639,67.3601617039683,16.986802791046014,18.36315254340483
University of Hyderabad,70.46,60.49,20,80.46,60.57952783207995,65.52185506869226,20.150026394141534,20.848075471982575
